Title,Salary,Date Posted,Location,Closing Date,Link
Agent de Recouvrement (B to B)GPO Limited,Not disclosed,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/Agent-de-Recouvrement-B-to-197541.aspx
Manager Restaurant - TapasakeOne&Only Le Saint Geran,Negotiable,29/08/2025,Flacq,28/09/2025,https://www.myjob.mu/Jobs/Manager-Restaurant-Tapasake-197540.aspx
Gestionnaire Comptable (2515-GCO)Alentaris Recruitment Ltd,Negotiable,29/08/2025,Moka,28/09/2025,https://www.myjob.mu/Jobs/Gestionnaire-Comptable-2515-GCO-197539.aspx
Health and Safety OfficerC-Care (Mauritius) Ltd,Negotiable,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/Health-and-Safety-Officer-197538.aspx
Supply Chain OfficerMaurilait (Member of Eclosia Group),Not disclosed,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/Supply-Chain-Officer-197537.aspx
Night receptionist cum Night AuditorHidden Company,Not disclosed,29/08/2025,Grand Port,18/09/2025,https://www.myjob.mu/Jobs/Night-receptionist-cum-Night-Auditor-197536.aspx
Deputy Money Laundering Reporting OfficerShe Recruits Pty Ltd,"76,000 - 100,000",27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Deputy-Money-Laundering-Reporting-Officer-197485.aspx
System Administrator WindowsBusiness & Decision Mauritius,Not disclosed,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/System-Administrator-Windows-197533.aspx
System Administrator LinuxBusiness & Decision Mauritius,Not disclosed,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/System-Administrator-Linux-197531.aspx
Assistant Finance & Admin Coordinator - Club Med AlbionClub Med,Negotiable,29/08/2025,Black River,28/09/2025,https://www.myjob.mu/Jobs/Assistant-Finance-Admin-Coordinator-Club-197529.aspx
Junior DealerBanque Patronus Limitée,Not disclosed,29/08/2025,Mauritius,20/09/2025,https://www.myjob.mu/Jobs/Junior-Dealer-197528.aspx
Store/Van HelperIBL Commercial Engineering,Not disclosed,29/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Store-Van-Helper-197527.aspx
Cost Controller - The Address Boutique HotelNinety – Six Hotel Collection,Not disclosed,29/08/2025,Riviere du Rempart,28/09/2025,https://www.myjob.mu/Jobs/Cost-Controller-The-Address-Boutique-197525.aspx
Compliance Officer / MLRO/ DMLROOmaha Corporate Services Ltd,Negotiable,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/Compliance-Officer-MLRO-DMLRO-197524.aspx
Coffee Shop SupervisorE.C OXENHAM & CY LTD,Not disclosed,11/08/2025,Plaine Wilhems,10/09/2025,https://www.myjob.mu/Jobs/Coffee-Shop-Supervisor-196588.aspx
Pharmacy Dispenser PereybereHidden Company,"10,000 - 20,000",29/08/2025,Pamplemousses,28/09/2025,https://www.myjob.mu/Jobs/Pharmacy-Dispenser-Pereybere-197523.aspx
Internal Audit AssociateGRANT THORNTON LTD,Not disclosed,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/Internal-Audit-Associate-197518.aspx
JUNIOR COST ENGINEERNextep Home Solution,Negotiable,29/08/2025,Plaine Wilhems,28/09/2025,https://www.myjob.mu/Jobs/JUNIOR-COST-ENGINEER-197517.aspx
Maintenance ManagerC-Care (Mauritius) Ltd,Negotiable,29/08/2025,Moka,12/09/2025,https://www.myjob.mu/Jobs/Maintenance-Manager-197516.aspx
FORKLIFT DRIVER (SPEEDFREIGHT LTD)ABC AUTOMOBILE,Not disclosed,29/08/2025,Port Louis,28/09/2025,https://www.myjob.mu/Jobs/FORKLIFT-DRIVER-SPEEDFREIGHT-LTD-197515.aspx
Relationship ExecutiveHF MARKETS LTD,Not disclosed,28/08/2025,Plaine Wilhems,27/09/2025,https://www.myjob.mu/Jobs/Relationship-Executive-197514.aspx
Comptable Sénior (H/F)Service Plus Monde SPM Ltée,Negotiable,28/08/2025,Port Louis,27/09/2025,https://www.myjob.mu/Jobs/Comptable-Senior-H-F-197512.aspx
GESTIONNAIRE DE RECOUVREMENTREHUMA,"21,000 - 30,000",07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/GESTIONNAIRE-DE-RECOUVREMENT-196509.aspx
Chargé(e) de Relation ClientREHUMA,"21,000 - 30,000",30/06/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Charge-e-de-Relation-Client-194226.aspx
Manager BeverageOne&Only Le Saint Geran,Negotiable,28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Manager-Beverage-197510.aspx
P​o​r​t​e​r​One&Only Le Saint Geran,"21,000 - 30,000",28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Porter-197509.aspx
Head WaiterOne&Only Le Saint Geran,"21,000 - 30,000",28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Head-Waiter-197508.aspx
Channel Account Manager (Commercial Accounts)Exclusive Networks,"More Than 100,000",28/08/2025,Moka,27/09/2025,https://www.myjob.mu/Jobs/Channel-Account-Manager-Commercial-Accounts-197507.aspx
Kids EntertainerOne&Only Le Saint Geran,"10,000 - 20,000",28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Kids-Entertainer-197506.aspx
Runner/ Trolley PersonOne&Only Le Saint Geran,"10,000 - 20,000",28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Runner-Trolley-Person-197505.aspx
Public Area CleanerOne&Only Le Saint Geran,"10,000 - 20,000",28/08/2025,Flacq,27/09/2025,https://www.myjob.mu/Jobs/Public-Area-Cleaner-197504.aspx
Chef de PartieLA MAISON D`ETE,Negotiable,27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Chef-de-Partie-197503.aspx
Housekeeping Attendant & Public Area AttendantLA MAISON D`ETE,Negotiable,27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Housekeeping-Attendant-Public-Area-Attendant-197502.aspx
Food and Beverage SupervisorLA MAISON D`ETE,Negotiable,27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Food-and-Beverage-Supervisor-197501.aspx
Head ChefLA MAISON D`ETE,Negotiable,27/08/2025,Flacq,26/09/2025,https://www.myjob.mu/Jobs/Head-Chef-197500.aspx
Chef de RangLA MAISON D`ETE,Negotiable,27/08/2025,Flacq,26/09/2025,https://www.myjob.mu/Jobs/Chef-de-Rang-197499.aspx
Mixologist / Barman / BaristaLA MAISON D`ETE,Negotiable,27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Mixologist-Barman-Barista-197498.aspx
Mixologist / Barman / BaristaLA MAISON D`ETE,Negotiable,27/08/2025,Flacq,26/09/2025,https://www.myjob.mu/Jobs/Mixologist-Barman-Barista-197497.aspx
Parking Operations / Administrative Officer (Speedfreight Ltd)ABC AUTOMOBILE,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Parking-Operations-Administrative-Officer-Speedfreight-197496.aspx
Procurement Specialist ( Contract Review)Checkout Support Services Limited,Not disclosed,27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/Procurement-Specialist-Contract-Review-197495.aspx
Senior Corporate AdministratorShe Recruits Pty Ltd,"51,000 - 75,000",27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Senior-Corporate-Administrator-197494.aspx
Senior Corporate AdministratorShe Recruits Pty Ltd,"51,000 - 75,000",27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Senior-Corporate-Administrator-197493.aspx
Deputy Money Laundering Officer - ComplianceShe Recruits Pty Ltd,"76,000 - 100,000",27/08/2025,Riviere du Rempart,26/09/2025,https://www.myjob.mu/Jobs/Deputy-Money-Laundering-Officer-Compliance-197492.aspx
A​c​c​o​u​n​t​a​n​t​Mauritius Gymkhana Club,Negotiable,27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/Accountant-197491.aspx
Webmaster (H/F)CELESTE,Not disclosed,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Webmaster-H-F-197490.aspx
"Supervisor, SecurityOne&Only Le Saint Geran","21,000 - 30,000",27/08/2025,Flacq,26/09/2025,https://www.myjob.mu/Jobs/Supervisor-Security-197484.aspx
AML/CFT AnalystBDO IT CONSULTING LTD,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/AML-CFT-Analyst-197482.aspx
Control Room OperatorLivestock Feed Ltd,Negotiable,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Control-Room-Operator-197483.aspx
B2C Sales Support RepresentativeTotalEnergies Marketing Mauritius Ltd,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/B2C-Sales-Support-Representative-197481.aspx
HSEQ ManagerTotalEnergies Marketing Mauritius Ltd,Negotiable,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/HSEQ-Manager-197480.aspx
SERVICE STATION SUPERVISORTotalEnergies Marketing Mauritius Ltd,Not disclosed,27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/SERVICE-STATION-SUPERVISOR-197479.aspx
Accounts OfficerPrinces Tuna (Mauritius) Limited,"31,000 - 40,000",27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/Accounts-Officer-197478.aspx
P​L​U​M​B​E​R​Bishopston Ltd,"10,000 - 20,000",27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/PLUMBER-197475.aspx
Téléprospecteur H/FSHINEGIS Co LTD,Negotiable,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/Teleprospecteur-H-F-197474.aspx
M&E CoordinatorSUPER CONSTRUCTION CO. LTD,Negotiable,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/M-E-Coordinator-197473.aspx
SEMI-SENIOR AUDITORMOORE (Mauritius) LLP,Negotiable,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/SEMI-SENIOR-AUDITOR-197472.aspx
Audit SeniorMOORE (Mauritius) LLP,Negotiable,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Audit-Senior-197471.aspx
Import Support Clerk (Rennel Limited)ENL,"10,000 - 20,000",27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Import-Support-Clerk-Rennel-Limited-197470.aspx
Junior Engineer (Ref 2532-PPR)Alentaris Recruitment Ltd,"31,000 - 40,000",04/08/2025,Port Louis,03/09/2025,https://www.myjob.mu/Jobs/Junior-Engineer-Ref-2532-PPR-196233.aspx
Guest Relation OfficerMARITIM RESORTS & SPA,"21,000 - 30,000",27/08/2025,Pamplemousses,08/09/2025,https://www.myjob.mu/Jobs/Guest-Relation-Officer-197469.aspx
D​r​i​v​e​r​s​Highway Speed Ltd,Not disclosed,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Drivers-197037.aspx
Reservation Officer (MHMML)MARITIM RESORTS & SPA,"21,000 - 30,000",27/08/2025,Pamplemousses,08/09/2025,https://www.myjob.mu/Jobs/Reservation-Officer-MHMML-197468.aspx
ACCUEIL SUPPORT TECHNIQUEOCI Océan Indien,Not disclosed,27/08/2025,Moka,26/09/2025,https://www.myjob.mu/Jobs/ACCUEIL-SUPPORT-TECHNIQUE-197467.aspx
P​o​r​t​e​r​Radisson Resorts Mauritius,Negotiable,27/08/2025,Flacq,10/09/2025,https://www.myjob.mu/Jobs/Porter-197466.aspx
Front Office AssistantRadisson Resorts Mauritius,Negotiable,27/08/2025,Flacq,10/09/2025,https://www.myjob.mu/Jobs/Front-Office-Assistant-197465.aspx
Senior Technology Consultant - Oracle DeveloperState Informatics Limited,"41,000 - 50,000",27/08/2025,Port Louis,10/09/2025,https://www.myjob.mu/Jobs/Senior-Technology-Consultant-Oracle-Developer-197464.aspx
Gestionnaire de dossiers sinistresRFT Trade Ltd,See description,13/08/2025,Mauritius,12/09/2025,https://www.myjob.mu/Jobs/Gestionnaire-de-dossiers-sinistres-196705.aspx
Technicien en Installation de Panneaux PhotovoltaïquesGrubbs Call Ltd,Not disclosed,04/08/2025,Port Louis,03/09/2025,https://www.myjob.mu/Jobs/Technicien-en-Installation-de-Panneaux-196244.aspx
Marketing AssistantGrubbs Call Ltd,Not disclosed,04/08/2025,Port Louis,03/09/2025,https://www.myjob.mu/Jobs/Marketing-Assistant-196245.aspx
COMMERCIAL (TERRAIN)Grubbs Call Ltd,Negotiable,14/08/2025,Port Louis,13/09/2025,https://www.myjob.mu/Jobs/COMMERCIAL-TERRAIN-196840.aspx
Software Developer (Full-Stack)Grubbs Call Ltd,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Software-Developer-Full-Stack-197463.aspx
Team Manager – Business DevelopmentState Informatics Limited,Negotiable,27/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/Team-Manager-Business-Development-197462.aspx
Welder - SoudeurHidden Company,"31,000 - 40,000",27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Welder-Soudeur-197461.aspx
Spirits BU ManagerGrays,Not disclosed,27/08/2025,Pamplemousses,26/09/2025,https://www.myjob.mu/Jobs/Spirits-BU-Manager-197460.aspx
Digital MarketerTeak World,Not disclosed,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Digital-Marketer-197459.aspx
E​l​e​c​t​r​i​c​i​a​n​Hilton Mauritius Resort & Spa,Negotiable,27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/Electrician-197457.aspx
C​a​r​p​e​n​t​e​r​Hilton Mauritius Resort & Spa,Not disclosed,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/Carpenter-197456.aspx
Pastry CookHilton Mauritius Resort & Spa,Negotiable,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/Pastry-Cook-197455.aspx
PASTRY SOUS CHEFHilton Mauritius Resort & Spa,Negotiable,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/PASTRY-SOUS-CHEF-197454.aspx
W​a​i​t​e​r​/​W​a​i​t​r​e​s​s​Hilton Mauritius Resort & Spa,Negotiable,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/Waiter-Waitress-197453.aspx
B​e​l​l​b​o​y​Hilton Mauritius Resort & Spa,Negotiable,27/08/2025,Black River,26/09/2025,https://www.myjob.mu/Jobs/Bellboy-197452.aspx
Training Coordinator (for Heritage Awali)Rogers Hospitality,Not disclosed,27/08/2025,Savanne,26/09/2025,https://www.myjob.mu/Jobs/Training-Coordinator-for-Heritage-Awali-197451.aspx
Traffic Manager (SEA/SEO)Linkeo Ltd,Negotiable,27/08/2025,Mauritius,26/09/2025,https://www.myjob.mu/Jobs/Traffic-Manager-SEA-SEO-197450.aspx
Sales and Administrative AssistantN-G Group,Not disclosed,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Sales-and-Administrative-Assistant-197449.aspx
Back End Developer (UK)SD Worx (Mauritius) Limited,Negotiable,27/08/2025,Plaine Wilhems,29/09/2025,https://www.myjob.mu/Jobs/Back-End-Developer-UK-197448.aspx
Chargé de Clientèle en Logistique Internationale (Effets Personnels)World Baggage Network International Ltd,Negotiable,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Charge-de-Clientele-en-Logistique-197447.aspx
Human Resources Manager (2534-HRM)Alentaris Recruitment Ltd,Negotiable,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Human-Resources-Manager-2534-HRM-197446.aspx
Finance Trainee - Le Suffren Hotel & MarinaNinety – Six Hotel Collection,Negotiable,25/08/2025,Port Louis,24/09/2025,https://www.myjob.mu/Jobs/Finance-Trainee-Le-Suffren-Hotel-197317.aspx
Accounts ClerkPhydra,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Accounts-Clerk-197443.aspx
Assistant StorekeeperPhydra,Not disclosed,27/08/2025,Port Louis,26/09/2025,https://www.myjob.mu/Jobs/Assistant-Storekeeper-197442.aspx
Driver SalesmanPhoenixBev,Negotiable,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Driver-Salesman-197441.aspx
Customer Service AgentUBP Ltd,Not disclosed,27/08/2025,Plaine Wilhems,26/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Agent-197440.aspx
Agents de SécuritéHidden Company,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Agents-de-Securite-197439.aspx
Commercial Administrative Assistant InternGrays,Not disclosed,26/08/2025,Pamplemousses,25/09/2025,https://www.myjob.mu/Jobs/Commercial-Administrative-Assistant-Intern-197438.aspx
Customer Service CoordinatorGrays,Not disclosed,26/08/2025,Pamplemousses,25/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Coordinator-197437.aspx
Technicien IT Niveau 2Hidden Company,Negotiable,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Technicien-IT-Niveau-2-197436.aspx
Handyman / Agent de maintenance polyvalentService Plus Monde SPM Ltée,"10,000 - 20,000",26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Handyman-Agent-de-maintenance-polyvalent-197435.aspx
Compliance ExecutiveMauritius Union Group,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Compliance-Executive-197434.aspx
F&B supervisorAirport Hotel Ltd (Holiday Inn),Negotiable,26/08/2025,Grand Port,25/09/2025,https://www.myjob.mu/Jobs/F-B-supervisor-197433.aspx
A​c​c​o​u​n​t​a​n​t​Airport Hotel Ltd (Holiday Inn),Not disclosed,26/08/2025,Grand Port,25/09/2025,https://www.myjob.mu/Jobs/Accountant-197432.aspx
Assistant accountantCongregation des soeurs de charite de Notre Dame du Bon et perpétuel,Not disclosed,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Assistant-accountant-197431.aspx
Administrative assistantCongregation des soeurs de charite de Notre Dame du Bon et perpétuel,Not disclosed,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Administrative-assistant-197430.aspx
Store AttendantVeranda Tamarin Hotel,Not disclosed,26/08/2025,Black River,25/09/2025,https://www.myjob.mu/Jobs/Store-Attendant-197429.aspx
Fibreglass Operator (Taylor Smith Boatyard ltd)TAYLOR SMITH GROUP,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Fibreglass-Operator-Taylor-Smith-Boatyard-197427.aspx
Trainee Fabric TechnologistCompagnie Mauricienne de Textile Ltée,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Trainee-Fabric-Technologist-197426.aspx
Chargé/e en relation client (Bilingue)Linkeo Ltd,Not disclosed,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Charge-e-en-relation-client-197425.aspx
Trainee Production EngineerCompagnie Mauricienne de Textile Ltée,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Trainee-Production-Engineer-197424.aspx
COMMUNITY MANAGER/MARKETING STRATEGY MANAGERHidden Company,See description,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/COMMUNITY-MANAGER-MARKETING-STRATEGY-MANAGER-197423.aspx
BRAND PROMOTERSmollan (Mauritius) Ltd,"10,000 - 20,000",26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/BRAND-PROMOTER-197422.aspx
Graphic DesignerGrays,Not disclosed,26/08/2025,Pamplemousses,25/09/2025,https://www.myjob.mu/Jobs/Graphic-Designer-197421.aspx
Finance LeadM5 Capital,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Finance-Lead-197420.aspx
Spa AttendantOne&Only Le Saint Geran,"10,000 - 20,000",26/08/2025,Flacq,25/09/2025,https://www.myjob.mu/Jobs/Spa-Attendant-197419.aspx
Cost and sales controllerEXOTIC GROUP,Not disclosed,26/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/Cost-and-sales-controller-197391.aspx
Graphic DesignerLE WAREHOUSE LTD,Not disclosed,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/Graphic-Designer-197417.aspx
Chauffeur / Homme a tout faireCutout Ltd,"21,000 - 30,000",26/08/2025,Riviere du Rempart,25/09/2025,https://www.myjob.mu/Jobs/Chauffeur-Homme-a-tout-faire-197412.aspx
Industrial Trainer (ECS Ltd)Nicolay Corporate Services Ltd,Not disclosed,26/08/2025,Riviere du Rempart,25/09/2025,https://www.myjob.mu/Jobs/Industrial-Trainer-ECS-Ltd-197413.aspx
Junior Data Analyst - CLODealview Technologies MU,Not disclosed,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/Junior-Data-Analyst-CLO-197416.aspx
Distribution Operations SupportPhoenixBev,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Distribution-Operations-Support-197415.aspx
Distribution Field OfficerPhoenixBev,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Distribution-Field-Officer-197414.aspx
Technical Pool & STP Operator(Aqua Science And Technology Ltd)TAYLOR SMITH GROUP,"10,000 - 20,000",26/08/2025,Black River,25/09/2025,https://www.myjob.mu/Jobs/Technical-Pool-STP-Operator-Aqua-197411.aspx
Procurement & Logistics AssistantHV International Ltd,Not disclosed,26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Procurement-Logistics-Assistant-197408.aspx
Group Commercial DirectorHEFTY LTD,Not disclosed,26/08/2025,Pamplemousses,25/09/2025,https://www.myjob.mu/Jobs/Group-Commercial-Director-197399.aspx
Clinical EmbryologistBolt Talent Solutions (Pty) Ltd,Not disclosed,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/Clinical-Embryologist-197407.aspx
Administrator - Fund ServicesBolt Talent Solutions (Pty) Ltd,Not disclosed,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/Administrator-Fund-Services-197406.aspx
Administrative Trainee (3 months)UBP Ltd,Not disclosed,26/08/2025,Black River,25/09/2025,https://www.myjob.mu/Jobs/Administrative-Trainee-3-months-197405.aspx
Accounts OfficerIndian Ocean Ship Management Services (SAPMER),See description,26/08/2025,Moka,25/09/2025,https://www.myjob.mu/Jobs/Accounts-Officer-197378.aspx
Guest Driver / PorterShanti Maurice Resort & Spa,Negotiable,26/08/2025,Savanne,25/09/2025,https://www.myjob.mu/Jobs/Guest-Driver-Porter-197404.aspx
Guest Services AgentShanti Maurice Resort & Spa,"10,000 - 20,000",26/08/2025,Savanne,25/09/2025,https://www.myjob.mu/Jobs/Guest-Services-Agent-197402.aspx
Sales Officer (2535-SOF)Alentaris Recruitment Ltd,"21,000 - 30,000",26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Sales-Officer-2535-SOF-197401.aspx
Sales Administrator (2535-SAD)Alentaris Recruitment Ltd,"21,000 - 30,000",26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Sales-Administrator-2535-SAD-197398.aspx
Logistics Officer (2535-LOF)Alentaris Recruitment Ltd,"21,000 - 30,000",26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Logistics-Officer-2535-LOF-197397.aspx
Application Engineer (DevOps)Rank Interactive Services (Mauritius) Limited,Negotiable,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/Application-Engineer-DevOps-197396.aspx
W​a​i​t​e​r​/​W​a​i​t​r​e​s​s​C Beach Club,Negotiable,26/08/2025,Savanne,25/09/2025,https://www.myjob.mu/Jobs/Waiter-Waitress-197395.aspx
Head WaiterC Beach Club,Negotiable,26/08/2025,Savanne,25/09/2025,https://www.myjob.mu/Jobs/Head-Waiter-197394.aspx
Billing and Admin Officer (2522-BAOFF)Alentaris Recruitment Ltd,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Billing-and-Admin-Officer-2522-197393.aspx
PRODUCT DEVELOPMENT OFFICERMaurilait (Member of Eclosia Group),Not disclosed,26/08/2025,Mauritius,25/09/2025,https://www.myjob.mu/Jobs/PRODUCT-DEVELOPMENT-OFFICER-197392.aspx
Gestionnaire administratif (backoffice)AVSCONGRES LTD,Not disclosed,25/08/2025,Port Louis,24/09/2025,https://www.myjob.mu/Jobs/Gestionnaire-administratif-backoffice-197321.aspx
Développeur Fullstack JuniorAVSCONGRES LTD,Not disclosed,25/08/2025,Port Louis,24/09/2025,https://www.myjob.mu/Jobs/Developpeur-Fullstack-Junior-197322.aspx
Team Leader – Service Department ( Ecoasis)ENL,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Team-Leader-Service-Department-Ecoasis-197390.aspx
Collaborateur Comptable / comptabilité françaiseAHA Expertises et Conseils (Maurice) Ltd,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Collaborateur-Comptable-comptabilite-française-197388.aspx
Maintenance OfficerMaxCity Asset Managers Ltd,"21,000 - 30,000",05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Maintenance-Officer-196308.aspx
Facility OfficerMaxCity Asset Managers Ltd,"21,000 - 30,000",26/08/2025,Port Louis,03/09/2025,https://www.myjob.mu/Jobs/Facility-Officer-197385.aspx
Assistant F&B ManagerConstance Prince Maurice,"51,000 - 75,000",26/08/2025,Flacq,25/09/2025,https://www.myjob.mu/Jobs/Assistant-F-B-Manager-197384.aspx
Assistant Pay and Benefits Support OfficerTransinvest Construction Ltd,"21,000 - 30,000",26/08/2025,Port Louis,25/09/2025,https://www.myjob.mu/Jobs/Assistant-Pay-and-Benefits-Support-197383.aspx
Housekeeping AttendantVeranda Pointe aux Biches Hotel,"10,000 - 20,000",26/08/2025,Riviere du Rempart,25/09/2025,https://www.myjob.mu/Jobs/Housekeeping-Attendant-197380.aspx
S​t​e​w​a​r​d​Veranda Pointe aux Biches Hotel,"10,000 - 20,000",26/08/2025,Pamplemousses,25/09/2025,https://www.myjob.mu/Jobs/Steward-197379.aspx
Floor SupervisorConstance Prince Maurice,"21,000 - 30,000",26/08/2025,Flacq,25/09/2025,https://www.myjob.mu/Jobs/Floor-Supervisor-197377.aspx
B​a​r​r​i​s​t​a​M5 Capital,Negotiable,26/08/2025,Plaine Wilhems,25/09/2025,https://www.myjob.mu/Jobs/Barrista-197376.aspx
Project Delivery EngineerVALID Group,Negotiable,25/08/2025,Plaine Wilhems,24/09/2025,https://www.myjob.mu/Jobs/Project-Delivery-Engineer-197373.aspx
Sales Development Trainer/CoachGrays,Not disclosed,25/08/2025,Pamplemousses,24/09/2025,https://www.myjob.mu/Jobs/Sales-Development-Trainer-Coach-197371.aspx
Assistant JuridiqueJOM Talents Recrutement Ltd,"31,000 - 40,000",25/08/2025,Plaine Wilhems,24/09/2025,https://www.myjob.mu/Jobs/Assistant-Juridique-197369.aspx
F&B Manager (Solana)Groupe Beau Vallon,Not disclosed,25/08/2025,Flacq,15/09/2025,https://www.myjob.mu/Jobs/F-B-Manager-Solana-197368.aspx
Pastry Chef (Preskil Island Resort)Groupe Beau Vallon,Not disclosed,25/08/2025,Grand Port,08/09/2025,https://www.myjob.mu/Jobs/Pastry-Chef-Preskil-Island-Resort-197366.aspx
