title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
supervisor client accounting svca alentaris recruitment ltd,45500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
executive sales representativeneutratech mauritius co ltd,45500.0,2025-08-14,plaine wilhems,2025-09-13,30,8,2025,9,2025
d r i v e r inicia lt e,15000.0,2025-08-13,mauritius,2025-09-12,30,8,2025,9,2025
procurement officerisland brush company ltd,25500.0,2025-08-13,riviere du rempart,2025-09-12,30,8,2025,9,2025
accounts clerk adminanglo african ltd,25500.0,2025-08-13,moka,2025-09-12,30,8,2025,9,2025
inventory compliance auditphoenixbev,25500.0,2025-08-13,plaine wilhems,2025-09-12,30,8,2025,9,2025
customer care and administrative coordinatorglobalink international mauritius mineral beauty,15000.0,2025-08-13,moka,2025-09-12,30,8,2025,9,2025
cost controllermauritius gymkhana club,25500.0,2025-08-13,plaine wilhems,2025-09-12,30,8,2025,9,2025
cook chef de partiele poivrier la riviere ,35500.0,2025-08-13,black river,2025-09-12,30,8,2025,9,2025
security guardsdayanand boholah seafoods co ltd,15000.0,2025-08-13,flacq,2025-09-12,30,8,2025,9,2025
c l e a n e r dayanand boholah seafoods co ltd,15000.0,2025-08-13,flacq,2025-09-12,30,8,2025,9,2025
driver good vehicle helperdayanand boholah seafoods co ltd,15000.0,2025-08-13,flacq,2025-09-12,30,8,2025,9,2025
accounts officerexpeditions adventures and safaris ltd,35500.0,2025-08-13,plaine wilhems,2025-09-12,30,8,2025,9,2025
op rateur op ratrice de saisiebatch image processing indian ocean bipio ,15000.0,2025-08-12,mauritius,2025-09-11,30,8,2025,9,2025
customer service representative insurance back officebatch image processing indian ocean bipio ,15000.0,2025-08-12,plaine wilhems,2025-09-11,30,8,2025,9,2025
trainee estimator networkmanser saxon contracting ltd,15000.0,2025-08-12,pamplemousses,2025-09-11,30,8,2025,9,2025
verification administratornew dimension ventures ltd,25500.0,2025-08-12,mauritius,2025-09-11,30,8,2025,9,2025
accounts clerknexteracom services ltd,15000.0,2025-08-12,plaine wilhems,2025-09-11,30,8,2025,9,2025
sales and partnership executive managerhidden company,88000.0,2025-08-12,black river,2025-09-11,30,8,2025,9,2025
store managerstandard labels mauritius limited,35500.0,2025-08-12,port louis,2025-09-11,30,8,2025,9,2025
account clerkhibiscus boutique hotel,15000.0,2025-08-12,riviere du rempart,2025-09-11,30,8,2025,9,2025
technicien servicedeskoutremer telecom digital solutions,35500.0,2025-08-12,plaine wilhems,2025-09-11,30,8,2025,9,2025
hr officerstandard labels mauritius limited,25500.0,2025-08-12,port louis,2025-09-11,30,8,2025,9,2025
sales executive sales managerhidden company,63000.0,2025-08-12,black river,2025-09-11,30,8,2025,9,2025
import and export officerservice de demenagement international ltee,25500.0,2025-08-12,port louis,2025-09-11,30,8,2025,9,2025
marketing secretaryconstance hospitality management ltd,25500.0,2025-08-12,flacq,2025-09-11,30,8,2025,9,2025
client relationship managershe recruits pty ltd,63000.0,2025-08-11,riviere du rempart,2025-09-10,30,8,2025,9,2025
senior corporate and trust administratorshe recruits pty ltd,63000.0,2025-08-11,riviere du rempart,2025-09-10,30,8,2025,9,2025
senior corporate administrator client relationship managerhidden company,63000.0,2025-08-11,riviere du rempart,2025-09-10,30,8,2025,9,2025
field test engineersmollan mauritius ltd,25500.0,2025-08-11,plaine wilhems,2025-09-10,30,8,2025,9,2025
waiter flexi timevoil bagatelle,15000.0,2025-08-11,plaine wilhems,2025-09-10,30,8,2025,9,2025
housekeeping attendant flexitimevoil bagatelle,15000.0,2025-08-11,plaine wilhems,2025-09-10,30,8,2025,9,2025
accounts cum admin clerkdistripharm ltd,15000.0,2025-08-11,plaine wilhems,2025-09-10,30,8,2025,9,2025
customer experience officerrogers capital management services,15000.0,2025-08-11,port louis,2025-09-10,30,8,2025,9,2025
spa therapisttamassa resort,15000.0,2025-08-09,savanne,2025-09-08,30,8,2025,9,2025
audit junior associatekemp chatteris,15000.0,2025-08-08,port louis,2025-09-07,30,8,2025,9,2025
renewal and customer success advisorhardy henry services ltd hardy henry group ,25500.0,2025-08-08,port louis,2025-09-07,30,8,2025,9,2025
graphiste illustrateur f h jungle island ltd,35500.0,2025-08-08,plaine wilhems,2025-09-07,30,8,2025,9,2025
accounts officercompagnie regionale de services et de l environnement ltee,25500.0,2025-08-07,black river,2025-09-06,30,8,2025,9,2025
support commercial prise de rdvinfolegale maurice lt e,25500.0,2025-08-07,moka,2025-09-06,30,8,2025,9,2025
mice coordinatorconstance hospitality management ltd,25500.0,2025-08-07,flacq,2025-09-06,30,8,2025,9,2025
automotive mechanics grade ihidden company,35500.0,2025-08-07,mauritius,2025-09-06,30,8,2025,9,2025
helper driverhelium business solutions ltd,25500.0,2025-08-07,black river,2025-09-06,30,8,2025,9,2025
logistics clerkmeaders feeds ltd,15000.0,2025-08-07,port louis,2025-09-06,30,8,2025,9,2025
gestionnaire de facturationchronopost mauritius ltd,15000.0,2025-08-07,port louis,2025-09-06,30,8,2025,9,2025
beach waiterone only le saint geran,25500.0,2025-08-06,flacq,2025-09-05,30,8,2025,9,2025
t h e r a p i s t one only le saint geran,25500.0,2025-08-06,flacq,2025-09-05,30,8,2025,9,2025
officer reservation agentone only le saint geran,25500.0,2025-08-06,flacq,2025-09-05,30,8,2025,9,2025
senior human resource officerramasawmy ramasawmy co ltd,45500.0,2025-08-06,mauritius,2025-09-05,30,8,2025,9,2025
technical support specialistfjtechlab international ltd,45500.0,2025-08-06,plaine wilhems,2025-09-05,30,8,2025,9,2025
public area attendanthibiscus boutique hotel,15000.0,2025-08-06,pamplemousses,2025-09-05,30,8,2025,9,2025
e n g i n e e r hidden company,88000.0,2025-08-05,port louis,2025-09-04,30,8,2025,9,2025
administrative officer aof alentaris recruitment ltd,25500.0,2025-08-05,port louis,2025-09-04,30,8,2025,9,2025
s t o r e k e e p e r hidden company,25500.0,2025-08-05,riviere du rempart,2025-09-04,30,8,2025,9,2025
mail collection officerintrum mauritius,25500.0,2025-08-05,mauritius,2025-09-04,30,8,2025,9,2025
spa therapisttamassa resort,15000.0,2025-08-05,savanne,2025-09-04,30,8,2025,9,2025
accounts officerhelium business solutions ltd,25500.0,2025-08-05,black river,2025-09-04,30,8,2025,9,2025
assist gest copro assoc fonci rehidden company,35500.0,2025-08-05,pamplemousses,2025-09-05,31,8,2025,9,2025
customer relations officerhelium business solutions ltd,25500.0,2025-08-05,black river,2025-09-04,30,8,2025,9,2025
assistant company secretaryomaha corporate services ltd,25500.0,2025-08-04,plaine wilhems,2025-09-03,30,8,2025,9,2025
executive corporate servicesomaha corporate services ltd,35500.0,2025-08-04,plaine wilhems,2025-09-03,30,8,2025,9,2025
beauty specialistglobalink international mauritius mineral beauty,25500.0,2025-08-04,moka,2025-09-03,30,8,2025,9,2025
host property managerhorizon holidays ltd,35500.0,2025-08-04,mauritius,2025-09-03,30,8,2025,9,2025
 mau tax customer support specialist i night shiftdayforce,25500.0,2025-08-04,mauritius,2025-09-03,30,8,2025,9,2025
expat and transport officergm punjabi co ltd,15000.0,2025-08-04,pamplemousses,2025-09-03,30,8,2025,9,2025
front office supervisorriu hotels resorts,25500.0,2025-08-02,black river,2025-10-01,60,8,2025,10,2025
housekeeping supervisorriu hotels resorts,25500.0,2025-08-02,black river,2025-10-01,60,8,2025,10,2025
bell boyriu hotels resorts,15000.0,2025-08-02,black river,2025-10-01,60,8,2025,10,2025
restaurant supervisorriu hotels resorts,25500.0,2025-08-02,black river,2025-10-01,60,8,2025,10,2025
kitchen stewardriu hotels resorts,15000.0,2025-07-19,black river,2025-09-17,60,7,2025,9,2025
w a i t e r riu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
commis iiriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
commis iriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
demi chef de partieriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
chef de partieriu hotels resorts,35500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
junior waiterriu hotels resorts,15000.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
senior restaurant waiterriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
junior bartenderriu hotels resorts,15000.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
b a r t e n d e r riu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
senior bartenderriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
junior entertainer dancer riu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
junior receptionistriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
r e c e p t i o n i s t riu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
senior receptionistriu hotels resorts,25500.0,2025-07-17,black river,2025-09-15,60,7,2025,9,2025
room attendantriu hotels resorts,25500.0,2025-07-14,black river,2025-09-12,60,7,2025,9,2025
senior maintenance technicianriu hotels resorts,25500.0,2025-07-14,black river,2025-09-12,60,7,2025,9,2025
junior receptionist telephone operator riu hotels resorts,25500.0,2025-07-14,black river,2025-09-12,60,7,2025,9,2025
