title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
customer service executive entertainment industry night shift english onlyconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
guest specialist hospitality industryconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
assistante comptable administrationags frasers mauritius ltd,35500.0,2025-09-01,pamplemousses,2025-10-01,30,9,2025,10,2025
insurance sales consultantshe recruits pty ltd,88000.0,2025-09-01,riviere du rempart,2025-10-01,30,9,2025,10,2025
cost controllerconstance hospitality management ltd,45500.0,2025-09-01,rodrigues,2025-10-01,30,9,2025,10,2025
technicien hvaclilmo ltd,25500.0,2025-09-01,pamplemousses,2025-10-01,30,9,2025,10,2025
team manager projetdigital business,35500.0,2025-09-01,moka,2025-09-30,29,9,2025,9,2025
h e l p e r hidden company,15000.0,2025-09-01,black river,2025-10-01,30,9,2025,10,2025
finance officerdelo by domeau,25500.0,2025-09-01,pamplemousses,2025-10-01,30,9,2025,10,2025
assistant quality assurance managerhidden company,63000.0,2025-09-01,port louis,2025-10-01,30,9,2025,10,2025
gestionnaire administratif et ressources humainesgroupe bsl maurice lt e,35500.0,2025-09-01,plaine wilhems,2025-10-01,30,9,2025,10,2025
t i m e k e e p e r transinvest construction ltd,15000.0,2025-09-01,port louis,2025-10-01,30,9,2025,10,2025
assistant internal controlleragiliss ltd,25500.0,2025-09-01,plaine wilhems,2025-09-05,4,9,2025,9,2025
credit control officeragiliss ltd,25500.0,2025-09-01,plaine wilhems,2025-09-05,4,9,2025,9,2025
assistant comptable h f comptabilit fran aiseecf consulting ltd,25500.0,2025-09-01,port louis,2025-10-01,30,9,2025,10,2025
charge de recouvrement b b b cinnovative knowledge corporate services ltd,25500.0,2025-09-01,plaine wilhems,2025-10-01,30,9,2025,10,2025
gestionnaire de planning matin et nuit groupe bsl maurice lt e,35500.0,2025-09-01,plaine wilhems,2025-10-01,30,9,2025,10,2025
it coordinatorshanti maurice resort spa,25500.0,2025-08-26,savanne,2025-09-25,30,8,2025,9,2025
t l agent en appel sortant prise de rendez vousgrubbs call ltd,25500.0,2025-08-15,port louis,2025-09-14,30,8,2025,9,2025
t l vendeur envie de nouveau challengesolocal interactive ltd,25500.0,2025-09-01,grand port,2025-10-01,30,9,2025,10,2025
junior business analystlinkham services ltd,25500.0,2025-09-01,port louis,2025-10-01,30,9,2025,10,2025
marketing executiverealign consulting ltd,45500.0,2025-08-31,port louis,2025-09-30,30,8,2025,9,2025
restaurant supervisorhibiscus boutique hotel,25500.0,2025-08-31,riviere du rempart,2025-09-30,30,8,2025,9,2025
hr coordinatorgm punjabi co ltd,25500.0,2025-08-30,pamplemousses,2025-09-29,30,8,2025,9,2025
pool technician water bottling operatorle jadis beach resort and wellness mauritius,15000.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
beach and pool attendantle jadis beach resort and wellness mauritius,15000.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
public area cleanersle jadis beach resort and wellness mauritius,15000.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
social media coordinatorhidden company,35500.0,2025-08-29,plaine wilhems,2025-09-28,30,8,2025,9,2025
guest service supervisorle jadis beach resort and wellness mauritius,25500.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
h a n d y m a n le jadis beach resort and wellness mauritius,15000.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
enqu teur t l phoniquetalenteum,15000.0,2025-08-29,plaine wilhems,2025-09-28,30,8,2025,9,2025
learning development coordinatoratalian interactive ltd,35500.0,2025-08-29,port louis,2025-09-28,30,8,2025,9,2025
gestionnaire de comptes service clientatalian interactive ltd,25500.0,2025-08-29,port louis,2025-09-28,30,8,2025,9,2025
charg de recouvrement t l travail possibleatalian interactive ltd,25500.0,2025-08-29,port louis,2025-09-28,30,8,2025,9,2025
agent administratif passation de march scommission de l oc an indien,35500.0,2025-08-29,plaine wilhems,2025-09-28,30,8,2025,9,2025
